UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7
University of California Davis,Long Beach City College,BIS 002A,BIO 1A,,,,,,
University of California Davis,Long Beach City College,BIS 002B,BIO 1A; BIO 1B,,,,,,
University of California Davis,Long Beach City College,BIS 002C,BIO 1A; BIO 1B,,,,,,
University of California Davis,Long Beach City College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A; CHEM 1B,,,,,,
University of California Davis,Long Beach City College,CHE 004A,Not Articulated,,,,,,
University of California Davis,Long Beach City College,CHE 004B,Not Articulated,,,,,,
University of California Davis,Long Beach City College,CHE 004C,Not Articulated,,,,,,
University of California Davis,Long Beach City College,PHY 009A,PHYS 3A,,,,,,
University of California Davis,Long Beach City College,PHY 009B,PHYS 3C,,,,,,
University of California Davis,Long Beach City College,PHY 009C,PHYS 3B,,,,,,
University of California Irvine,Long Beach City College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 11; CS 12,,,,,,
University of California Irvine,Long Beach City College,MATH 2A,MATH 60,MATH 60H,,,,,
University of California Irvine,Long Beach City College,MATH 2B,MATH 70,MATH 70H,,,,,
University of California Irvine,Long Beach City College,MATH 3A,MATH 84,,,,,,
University of California Irvine,Long Beach City College,I&C SCI 6N,Not Articulated,,,,,,
University of California Irvine,Long Beach City College,I&C SCI 6B,Not Articulated,,,,,,
University of California Irvine,Long Beach City College,I&C SCI 6D,Not Articulated,,,,,,
University of California Irvine,Long Beach City College,I&C SCI 45C,Not Articulated,,,,,,
University of California Irvine,Long Beach City College,I&C SCI 46,Not Articulated,,,,,,
University of California Irvine,Long Beach City College,I&C SCI 51,CS 51,,,,,,
University of California Irvine,Long Beach City College,I&C SCI 53,Not Articulated,,,,,,
University of California Irvine,Long Beach City College,IN4MATX 43,Not Articulated,,,,,,
University of California Irvine,Long Beach City College,STATS 67,Not Articulated,,,,,,
University of California Los Angeles,Long Beach City College,COM SCI 31,CS 11; CS 12,,,,,,
University of California Los Angeles,Long Beach City College,COM SCI 32,CS 12; CS 22,,,,,,
University of California Los Angeles,Long Beach City College,COM SCI 33,Not Articulated,,,,,,
University of California Los Angeles,Long Beach City College,COM SCI 35L,Not Articulated,,,,,,
University of California Los Angeles,Long Beach City College,COM SCI M51A,Not Articulated,,,,,,
University of California Los Angeles,Long Beach City College,EC ENGR M16,Not Articulated,,,,,,
University of California Los Angeles,Long Beach City College,MATH 31A,MATH 60,MATH 60H,,,,,
University of California Los Angeles,Long Beach City College,MATH 31B,MATH 70,,,,,,
University of California Los Angeles,Long Beach City College,MATH 32A,MATH 80,,,,,,
University of California Los Angeles,Long Beach City College,MATH 32B,MATH 80,,,,,,
University of California Los Angeles,Long Beach City College,MATH 33A,MATH 84,,,,,,
University of California Los Angeles,Long Beach City College,MATH 33B,MATH 84,,,,,,
University of California Los Angeles,Long Beach City College,MATH 61,Not Articulated,,,,,,
University of California Los Angeles,Long Beach City College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 3A; PHYS 3B; PHYS 3C,,,,,,
University of California Los Angeles,Long Beach City College,PHYSICS 4AL,Not Articulated,,,,,,
University of California Los Angeles,Long Beach City College,PHYSICS 4BL,Not Articulated,,,,,,
University of California Los Angeles,Long Beach City College,ENGCOMP 3,ENGL 1,ENGL 1H,,,,,
University of California Los Angeles,Long Beach City College,,ENGL 2,ENGL 3,ENGL 3H,,,,
University of California Los Angeles,Long Beach City College,,CS 12,,,,,,
University of California Merced,Long Beach City College,CSE 022,CS 11,CS 21,CS 31,,,,
University of California Merced,Long Beach City College,CSE 030,CS 22,,,,,,
University of California Merced,Long Beach City College,MATH 021,MATH 60,,,,,,
University of California Merced,Long Beach City College,MATH 022,MATH 70,,,,,,
University of California Merced,Long Beach City College,MATH 023,MATH 80,,,,,,
University of California Merced,Long Beach City College,MATH 024,MATH 84,,,,,,
University of California Merced,Long Beach City College,PHYS 008; PHYS 008L,PHYS 3A,,,,,,
University of California Merced,Long Beach City College,PHYS 009; PHYS 009L,PHYS 3B,,,,,,
University of California Merced,Long Beach City College,CSE 015,Not Articulated,,,,,,
University of California Merced,Long Beach City College,CSE 022,CS 11,CS 21,CS 31,,,,
University of California Merced,Long Beach City College,CSE 024,CS 12,,,,,,
University of California Merced,Long Beach City College,CSE 030,CS 22,,,,,,
University of California Merced,Long Beach City College,CSE 031,CS 51,,,,,,
University of California Merced,Long Beach City College,ENGR 065,ENGR 17; ENGR 17L,,,,,,
University of California Merced,Long Beach City College,ENGR 091,Not Articulated,,,,,,
University of California Merced,Long Beach City College,MATH 032,Not Articulated,,,,,,
University of California Merced,Long Beach City College,ENGR 080,Not Articulated,,,,,,
University of California Merced,Long Beach City College,WRI 001,ENGL 1,ENGL 1H,ENGL 1S,ESL 1S,,,
University of California Merced,Long Beach City College,WRI 010,ENGL 2,ENGL 3,ENGL 3H,ENGL 4,ENGL 4H,HIST 47,READ 84
University of California Riverside,Long Beach City College,CS 10A,CS 11,ENGR 54,,,,,
University of California Riverside,Long Beach City College,CS 10B,CS 12,,,,,,
University of California Riverside,Long Beach City College,MATH 9A; MATH 9B; MATH 9C,MATH 60; MATH 70,,,,,,
University of California Riverside,Long Beach City College,PHYS 40A,PHYS 3A,,,,,,
University of California Riverside,Long Beach City College,CS 11,MATH 55,,,,,,
University of California Riverside,Long Beach City College,CS 10C,Not Articulated,,,,,,
University of California Riverside,Long Beach City College,CS 61,Not Articulated,,,,,,
University of California Riverside,Long Beach City College,MATH 10A,MATH 80,,,,,,
University of California Riverside,Long Beach City College,PHYS 40B,PHYS 3A; PHYS 3C,,,,,,
University of California Riverside,Long Beach City College,PHYS 40C,PHYS 3B,,,,,,
University of California Riverside,Long Beach City College,EE 20B,Not Articulated,,,,,,
University of California Riverside,Long Beach City College,MATH 31,MATH 84,,,,,,
University of California San Diego,Long Beach City College,CSE 8A,Not Articulated,,,,,,
University of California San Diego,Long Beach City College,CSE 8B,Not Articulated,,,,,,
University of California San Diego,Long Beach City College,CSE 11,Not Articulated,,,,,,
University of California San Diego,Long Beach City College,CSE 12,CS 22,,,,,,
University of California San Diego,Long Beach City College,CSE 15L,Not Articulated,,,,,,
University of California San Diego,Long Beach City College,CSE 20,Not Articulated,,,,,,
University of California San Diego,Long Beach City College,CSE 21,Not Articulated,,,,,,
University of California San Diego,Long Beach City College,CSE 30,Not Articulated,,,,,,
University of California San Diego,Long Beach City College,MATH 18,MATH 84,,,,,,
University of California San Diego,Long Beach City College,MATH 20A,MATH 60,,,,,,
University of California San Diego,Long Beach City College,MATH 20B,MATH 70,,,,,,
University of California San Diego,Long Beach City College,MATH 20C,MATH 80,,,,,,
University of California San Diego,Long Beach City College,BILD 1,BIO 1A; BIO 1B,,,,,,
University of California San Diego,Long Beach City College,BILD 2,BIO 1A; BIO 1B,,,,,,
University of California San Diego,Long Beach City College,BILD 3,BIO 1A; BIO 1B,,,,,,
University of California San Diego,Long Beach City College,CHEM 6A,CHEM 1A,,,,,,
University of California San Diego,Long Beach City College,CHEM 6B,CHEM 1A; CHEM 1B,,,,,,
University of California San Diego,Long Beach City College,PHYS 2A,PHYS 3A,,,,,,
University of California San Diego,Long Beach City College,PHYS 2B,PHYS 3B,,,,,,
University of California San Diego,Long Beach City College,PHYS 4A,Not Articulated,,,,,,
University of California San Diego,Long Beach City College,PHYS 4B,Not Articulated,,,,,,
University of California Santa Barbara,Long Beach City College,MATH 3A,MATH 60,MATH 60H,,,,,
University of California Santa Barbara,Long Beach City College,MATH 3B,MATH 70,MATH 70H,,,,,
University of California Santa Barbara,Long Beach City College,MATH 4A,MATH 84,,,,,,
University of California Santa Barbara,Long Beach City College,MATH 4B,MATH 84,,,,,,
University of California Santa Barbara,Long Beach City College,CMPSC 16,CS 11,ENGR 54,,,,,
University of California Santa Barbara,Long Beach City College,CMPSC 24,CS 12; CS 22,,,,,,
University of California Santa Barbara,Long Beach City College,CMPSC 40,MATH 55,,,,,,
University of California Santa Barbara,Long Beach City College,CMPSC 32,Not Articulated,,,,,,
University of California Santa Barbara,Long Beach City College,CMPSC 64,CS 51,,,,,,
University of California Santa Barbara,Long Beach City College,MATH 6A,MATH 80,,,,,,
University of California Santa Barbara,Long Beach City College,PHYS 1,PHYS 3A,,,,,,
University of California Santa Barbara,Long Beach City College,PHYS 2,PHYS 3A; PHYS 3B; PHYS 3C,,,,,,
University of California Santa Barbara,Long Beach City College,PHYS 3; PHYS 3L,PHYS 3A; PHYS 3B,,,,,,
University of California Santa Barbara,Long Beach City College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 2A; PHYS 2B,,,,,,
University of California Santa Barbara,Long Beach City College,PHYS 7A,PHYS 3A,,,,,,
University of California Santa Barbara,Long Beach City College,PHYS 7B,PHYS 3A; PHYS 3B,,,,,,
University of California Santa Barbara,Long Beach City College,PHYS 7C,PHYS 3B; PHYS 3C,,,,,,
University of California Santa Barbara,Long Beach City College,PHYS 7D,PHYS 3C,,,,,,
University of California Santa Barbara,Long Beach City College,PHYS 7L,PHYS 3A; PHYS 3B,,,,,,
University of California Santa Barbara,Long Beach City College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 1A; CHEM 1B,,,,,,
University of California Santa Barbara,Long Beach City College,MCDB 1A; MCDB 1LL,BIO 1A; BIO 1B,,,,,,
University of California Santa Barbara,Long Beach City College,MCDB 1B,BIO 1A; BIO 1B,,,,,,
University of California Santa Barbara,Long Beach City College,PSTAT 120A,Not Articulated,,,,,,
University of California Santa Cruz,Long Beach City College,CSE 12,Not Articulated,,,,,,
University of California Santa Cruz,Long Beach City College,CSE 16,MATH 55,,,,,,
University of California Santa Cruz,Long Beach City College,CSE 30,CS 22,,,,,,
University of California Santa Cruz,Long Beach City College,MATH 19A,MATH 60,,,,,,
University of California Santa Cruz,Long Beach City College,MATH 19B,MATH 70,,,,,,
University of California Santa Cruz,Long Beach City College,AM 10,MATH 84,,,,,,
University of California Santa Cruz,Long Beach City College,MATH 21,MATH 84,,,,,,
University of California Santa Cruz,Long Beach City College,AM 30,MATH 80,,,,,,
University of California Santa Cruz,Long Beach City College,MATH 23A,MATH 80,,,,,,
